OBJECTID,CAPTURE_ACCURACY,EQUIPMENT,DESCRIPTION,STATUS,OBJECT_TYPE_DESCRIPTION,Shape__Length,GlobalID
793,6,100045199,Mapoutahi Pa Walking Track,OPEN,Walking Track,207.061534551196,43171e35-a1a8-4dff-85b9-4370bb7564e7
794,4,100045200,Long Beach / Warauwerawera Walk,OPEN,Walking Track,296.697279978604,03b559df-9b41-415d-adbd-b9b00be8dc1d
795,2,100045203,Sandfly Bay Walking Track,OPEN,Walking Track,573.315182061025,f246a4b3-0bf6-4b28-881f-174d2164cc14
796,2,100045205,Highcliff Track,OPEN,Tramping Track,3219.65542077954,1e9f22e3-7bdb-4399-a2b7-57cd42a36460
797,6,100045207,Mount Stuart Tunnel Walking Track,OPEN,Walking Track,692.340633740207,a2425646-9f2c-492a-a986-09c78e3b67f3
798,6,100045208,HERITAGE LODGE TO TUNUPO TK,OPEN,Tramping Track,5212.13108988028,abf80662-0ca2-448c-a839-d446c06f52bd
799,6,100045210,NO. 1 LINE TRACK,OPEN,Tramping Track,2161.88361656163,9d62681e-9487-4e97-9370-1f532a6c0575
800,6,100045211,OPAWE ROAD TO MAHARAHARA,OPEN,Tramping Track,5157.01648643303,45bbe3db-1d72-4152-94c7-dd0262ecf4f7
801,6,100045213,NGAMOKO HUT TO NGAMOKO RANGE TK,OPEN,Tramping Track,2203.77246592639,52dcb362-a30b-4b2d-81f2-6e7cc2036d16
802,6,100045216,MCKINNON HUT TO KAWHATAU RIVER TK,OPEN,Tramping Track,1505.66712505016,44b9de51-8a95-41bf-8ec5-e913118e74df
803,2,100045218,PUKAREAO ACCESS TK,OPEN,Tramping Track,12721.6000343094,d7b0cfbd-f32b-47f4-83ff-fcf60ca20d86
804,6,100045219,OHUTU TO DUCKVILLE TK,OPEN,Tramping Track,8289.09364197455,77d9c0c7-3bab-4e73-872c-3e9775ac4aa9
805,2,100043809,TRACK- NORTH WEST BAY CIRCUIT,OPEN,Tramping Track,9174.46265212704,247f05a4-adcc-4062-9059-71a15d40d214
806,2,100045239,North Opuha Track,OPEN,Tramping Track,7087.64937106588,1a7f32d9-93aa-4629-950a-94fb25eed383
807,2,100045241,Homestead Hill Easement,OPEN,Tramping Track,1209.50916395531,f860d005-b14b-48fd-944c-a9cc2b7f079c
808,5,100045248,Kohuroanaki Loop Track,OPEN,Tramping Track,6201.07807310845,d9a2ab31-57fe-4b95-b8cb-29cf7d0ec9a8
809,2,100045251,SIX FOOT TRACK,OPEN,Tramping Track,3786.09278251336,7b383b22-cb46-498a-9631-3bf9fdac8fec
810,5,100045252,WAOKU COACH RD W/WAY (WAIMA TO TUTAMOE),OPEN,Tramping Track,22946.8609435036,ec8e8dd7-e593-4fed-9146-8ce62d3fba88
811,5,100045253,MOUNT TUTAMOE TK,OPEN,Tramping Track,3033.86238410051,c5d30aa0-e813-4091-8764-60575fcfad00
812,6,100045255,WAIOTAKA ANGLERS ACCESS TK,OPEN,Tramping Track,3139.54188776911,2d556642-b02a-49e3-93d9-bf35289f0749
813,2,100045257,Granity Creek Track,OPEN,Tramping Track,2120.64639587544,20b0944e-7d39-48a1-8e74-3b6a6cde46c6
